topic_id,word_1,weight_word_1,word_2,weight_word_2,word_3,weight_word_3,word_4,weight_word_4,word_5,weight_word_5,word_6,weight_word_6,word_7,weight_word_7,word_8,weight_word_8,word_9,weight_word_9,word_10,weight_word_10,topic_description
0,unreal,0.41193435,engine,0.40336886,rendered,9.490617e-06,illumination,9.490615e-06,global,9.490615e-06,hdr,9.490615e-06,martine,9.4906145e-06,johanna,9.4906145e-06,etty,9.4906145e-06,patagonia,9.4906145e-06,Unreal Engine rendering technology
1,battleaxe,5.137954e-05,costumed,5.137954e-05,patagonia,5.137954e-05,willam,5.137954e-05,etty,5.137954e-05,cinematogrophy,5.137954e-05,pharoah,5.137954e-05,actually,5.137954e-05,martine,5.137954e-05,forhead,5.137954e-05,Historical figures and costume drama
2,painting,0.44181323,digital,0.4111634,color,0.066553034,palette,0.004691428,kon,0.0017725076,satoshi,0.00064243877,oil,3.7705502e-06,matte,3.7705497e-06,illustration,3.7705493e-06,willam,3.7705488e-06,Digital painting and color techniques
3,human,0.21182005,void,4.049841e-05,eyes,4.049841e-05,timeless,4.049841e-05,happy,4.049841e-05,space,4.049841e-05,getting,4.049841e-05,lights,4.049841e-05,plastic,4.049841e-05,ocean,4.049841e-05,Focus on human significance
4,battleaxe,5.137954e-05,costumed,5.137954e-05,patagonia,5.137954e-05,willam,5.137954e-05,etty,5.137954e-05,cinematogrophy,5.137954e-05,pharoah,5.137954e-05,actually,5.137954e-05,martine,5.137954e-05,forhead,5.137954e-05,Historical figures and costume themes
5,fantasy,0.6253529,wearing,0.17064026,complex,1.0482857e-05,white,1.0482857e-05,tank,1.0482857e-05,dark,1.0482857e-05,black,1.0482857e-05,victorian,1.0482857e-05,top,1.0482857e-05,armors,1.0482857e-05,Fantasy-themed clothing or costumes
6,artstation,0.883371,featured,0.029988248,trending,4.4520407e-06,hd,4.4520334e-06,patagonia,4.452033e-06,willam,4.452033e-06,etty,4.452033e-06,cinematogrophy,4.452033e-06,pharoah,4.452033e-06,actually,4.452033e-06,ArtStation featured artwork
7,detailed,0.76143533,ultra,0.106032275,fine,0.030710861,neon,0.028712986,renaissance,0.01739139,highly,2.86347e-06,realistic,2.863466e-06,extremely,2.8634659e-06,hyper,2.8634659e-06,face,2.8634659e-06,Detailed ultra-fine neon renaissance
8,sharp,0.48645476,focus,0.41713798,battleaxe,4.9538417e-06,johanna,4.9538417e-06,patagonia,4.9538417e-06,willam,4.9538417e-06,etty,4.9538417e-06,cinematogrophy,4.9538417e-06,pharoah,4.9538417e-06,actually,4.9538417e-06,Photography and image clarity
9,greg,0.2364388,rutkowski,0.22378127,artgerm,0.16800615,mucha,0.102304585,alphonse,0.09717766,quality,0.07320619,insanely,0.022715533,simon,0.014282752,stalenhag,0.011629009,wlop,2.5936877e-06,Famous digital and traditional artists
