prompt_id,topic_id
0,29
1,31
2,2
3,57
4,75
5,86
6,31
7,83
8,31
9,87
10,31
11,23
12,57
13,76
14,52
15,31
16,2
17,31
18,31
19,87
20,31
21,95
22,31
23,23
24,31
25,32
26,31
27,89
28,31
29,31
30,30
31,37
32,31
33,23
34,23
35,31
36,2
37,31
38,35
39,29
40,11
41,52
42,97
43,52
44,31
45,31
46,38
47,31
48,31
49,31
50,31
51,57
52,88
53,31
54,31
55,38
56,31
57,52
58,31
59,31
60,24
61,92
62,31
63,31
64,31
65,31
66,29
67,7
68,31
69,89
70,31
71,31
72,92
73,7
74,12
75,31
76,30
77,85
78,31
79,95
80,31
81,7
82,95
83,76
84,30
85,2
86,86
87,86
88,38
89,31
90,31
91,76
92,2
93,31
94,31
95,31
96,29
97,31
98,24
99,9
100,95
101,85
102,32
103,31
104,31
105,31
106,38
107,31
108,31
109,31
110,83
111,31
112,29
113,31
114,76
115,31
116,31
117,31
118,31
119,31
120,31
121,31
122,92
123,31
124,2
125,7
126,31
127,30
128,30
129,76
130,86
131,7
132,31
133,57
134,2
135,7
136,31
137,2
138,31
139,31
140,31
141,31
142,52
143,30
144,95
145,23
146,83
147,87
148,30
149,30
150,31
151,23
152,89
153,31
154,75
155,31
156,92
157,31
158,88
159,57
160,31
161,92
162,31
163,30
164,31
165,31
166,92
167,31
168,31
169,31
170,31
171,2
172,52
173,95
174,30
175,30
176,85
177,30
178,83
179,24
180,31
181,31
182,31
183,31
184,31
185,86
186,31
187,31
188,76
189,86
190,2
191,85
192,31
193,92
194,7
195,31
196,31
197,31
198,30
199,31
200,2
201,76
202,83
203,2
204,31
205,2
206,57
207,31
208,31
209,87
210,31
211,31
212,76
213,31
214,29
215,31
216,30
217,29
218,31
219,31
220,31
221,31
222,23
223,2
224,83
225,30
226,30
227,38
228,29
229,31
230,31
231,31
232,31
233,76
234,31
235,31
236,31
237,31
238,7
239,31
240,31
241,31
242,30
243,38
244,23
245,95
246,7
247,31
248,87
249,29
250,31
251,92
252,31
253,30
254,30
255,31
256,31
257,31
258,31
259,76
260,2
261,31
262,83
263,31
264,31
265,85
266,83
267,31
268,52
269,31
270,31
271,31
272,30
273,31
274,31
275,30
276,31
277,31
278,31
279,76
280,7
281,31
282,31
283,95
284,31
285,76
286,2
287,31
288,7
289,7
290,31
291,30
292,2
293,92
294,57
295,29
296,31
297,92
298,31
299,31
300,52
301,85
302,52
303,30
304,31
305,97
306,31
307,31
308,31
309,75
310,31
311,23
312,29
313,83
314,23
315,31
316,31
317,31
318,31
319,31
320,76
321,92
322,23
323,31
324,92
325,85
326,85
327,30
328,31
329,75
330,30
331,31
332,92
333,31
334,35
335,31
336,83
337,31
338,24
339,87
340,95
341,95
342,31
343,31
344,31
345,52
346,31
347,83
348,23
349,7
350,31
351,7
352,7
353,31
354,57
355,31
356,31
357,24
358,31
359,7
360,52
361,76
362,38
363,31
364,23
365,85
366,31
367,31
368,31
369,92
370,85
371,30
372,23
373,31
374,23
375,31
376,30
377,31
378,83
379,31
380,31
381,85
382,87
383,31
384,31
385,76
386,31
387,85
388,24
389,23
390,31
391,31
392,38
393,87
394,89
395,30
396,76
397,31
398,31
399,83
400,87
401,92
402,87
403,31
404,31
405,83
406,38
407,95
408,92
409,87
410,31
411,83
412,87
413,31
414,95
415,31
416,30
417,31
418,76
419,76
420,31
421,31
422,31
423,38
424,31
425,31
426,31
427,23
428,31
429,31
430,87
431,31
432,87
433,31
434,31
435,31
436,76
437,95
438,76
439,31
440,87
441,31
442,11
443,12
444,31
445,87
446,76
447,2
448,30
449,31
450,31
451,29
452,30
453,31
454,31
455,7
456,24
457,31
458,76
459,31
460,31
461,31
462,31
463,30
464,31
465,95
466,31
467,31
468,9
469,7
470,9
471,35
472,31
473,30
474,38
475,31
476,31
477,38
478,31
479,2
480,76
481,2
482,31
483,31
484,2
485,83
486,31
487,31
488,31
489,31
490,88
491,31
492,31
493,31
494,92
495,31
496,76
497,30
498,31
499,87
500,38
501,29
502,23
503,31
504,30
505,31
506,31
507,92
508,31
509,31
510,83
511,7
512,31
513,31
514,31
515,83
516,31
517,31
518,31
519,32
520,31
521,30
522,31
523,23
524,83
525,31
526,31
527,31
528,31
529,31
530,31
531,76
532,31
533,23
534,31
535,31
536,2
537,95
538,76
539,31
540,31
541,30
542,31
543,31
544,30
545,31
546,31
547,2
548,31
549,87
550,30
551,76
552,31
553,2
554,31
555,86
556,29
557,31
558,31
559,92
560,30
561,31
562,31
563,31
564,57
565,31
566,2
567,31
568,31
569,38
570,30
571,85
572,31
573,30
574,7
575,92
576,92
577,31
578,76
579,31
580,31
581,31
582,30
583,31
584,7
585,86
586,31
587,83
588,23
589,30
590,52
591,31
592,37
593,7
594,31
595,31
596,38
597,31
598,31
599,31
600,85
601,31
602,31
603,23
604,31
605,31
606,31
607,7
608,83
609,31
610,29
611,31
612,31
613,31
614,86
615,38
616,2
617,92
618,29
619,7
620,31
621,35
622,97
623,30
624,31
625,31
626,31
627,95
628,31
629,9
630,2
631,76
632,87
633,31
634,31
635,31
636,7
637,31
638,31
639,11
640,29
641,76
642,30
643,31
644,31
645,31
646,89
647,83
648,85
649,31
650,24
651,31
652,2
653,29
654,31
655,31
656,31
657,31
658,2
659,30
660,88
661,31
662,30
663,89
664,38
665,31
666,31
667,92
668,31
669,7
670,95
671,31
672,31
673,76
674,30
675,87
676,30
677,30
678,30
679,31
680,52
681,31
682,31
683,31
684,31
685,30
686,83
687,30
688,76
689,31
690,31
691,31
692,31
693,31
694,92
695,87
696,30
697,31
698,23
699,76
700,7
701,38
702,52
703,31
704,87
705,31
706,31
707,30
708,31
709,31
710,97
711,31
712,31
713,31
714,7
715,24
716,31
717,31
718,31
719,31
720,31
721,92
722,76
723,87
724,31
725,31
726,31
727,2
728,31
729,30
730,87
731,31
732,30
733,31
734,31
735,7
736,31
737,38
738,31
739,31
740,31
741,76
742,76
743,31
744,30
745,31
746,31
747,29
748,31
749,31
750,31
751,87
752,31
753,83
754,9
755,31
756,31
757,30
758,92
759,31
760,38
761,31
762,31
763,30
764,92
765,30
766,31
767,30
768,31
769,2
770,52
771,31
772,75
773,29
774,23
775,7
776,2
777,31
778,31
779,23
780,30
781,95
782,85
783,30
784,2
785,83
786,31
787,31
788,85
789,31
790,31
791,31
792,29
793,2
794,7
795,31
796,2
797,31
798,95
799,7
800,52
801,2
802,88
803,31
804,31
805,95
806,31
807,31
808,31
809,11
810,88
811,29
812,30
813,31
814,2
815,31
816,30
817,31
818,31
819,31
820,31
821,31
822,31
823,24
824,31
825,85
826,31
827,31
828,30
829,31
830,31
831,31
832,31
833,31
834,31
835,31
836,31
837,38
838,76
839,31
840,31
841,30
842,7
843,31
844,87
845,31
846,31
847,30
848,31
849,7
850,92
851,2
852,31
853,31
854,30
855,31
856,30
857,31
858,31
859,7
860,31
861,31
862,31
863,9
864,24
865,88
866,31
867,31
868,2
869,29
870,2
871,31
872,31
873,31
874,38
875,7
876,31
877,37
878,31
879,31
880,7
881,31
882,7
883,31
884,76
885,31
886,11
887,2
888,31
889,31
890,30
891,31
892,31
893,30
894,76
895,31
896,29
897,29
898,31
899,2
900,83
901,2
902,31
903,76
904,31
905,95
906,31
907,95
908,31
909,31
910,31
911,31
912,2
913,31
914,92
915,29
916,85
917,31
918,31
919,76
920,31
921,31
922,31
923,31
924,38
925,29
926,38
927,31
928,31
929,24
930,30
931,31
932,31
933,31
934,31
935,31
936,38
937,31
938,7
939,37
940,7
941,31
942,31
943,2
944,31
945,95
946,29
947,83
948,7
949,31
950,31
951,29
952,31
953,30
954,7
955,92
956,31
957,31
958,30
959,2
960,31
961,31
962,31
963,31
964,2
965,31
966,85
967,31
968,31
969,31
970,85
971,31
972,2
973,88
974,31
975,30
976,83
977,23
978,31
979,31
980,31
981,38
982,30
983,31
984,52
985,76
986,30
987,31
988,31
989,31
990,30
991,2
992,31
993,87
994,75
995,2
996,95
997,76
998,87
999,31
1000,31
1001,31
1002,31
1003,30
1004,7
1005,76
1006,83
1007,92
1008,31
1009,52
1010,31
1011,31
1012,29
1013,31
1014,76
1015,31
1016,31
1017,85
1018,31
1019,30
1020,52
1021,38
1022,31
1023,31
1024,23
1025,92
1026,31
1027,31
1028,30
1029,31
1030,31
1031,75
1032,38
1033,30
1034,31
1035,85
1036,31
1037,52
1038,2
1039,31
1040,88
1041,92
1042,87
1043,31
1044,24
1045,31
1046,31
1047,29
1048,57
1049,31
1050,31
1051,7
1052,29
1053,24
1054,31
1055,92
1056,2
1057,52
1058,57
1059,76
1060,7
1061,31
1062,76
1063,31
1064,31
1065,76
1066,31
1067,85
1068,31
1069,31
1070,31
1071,31
1072,31
1073,76
1074,31
1075,7
1076,31
1077,31
1078,30
1079,92
1080,7
1081,31
1082,83
1083,92
1084,95
1085,31
1086,2
1087,31
1088,31
1089,88
1090,38
1091,76
1092,29
1093,31
1094,31
1095,76
1096,2
1097,31
1098,31
1099,38
1100,92
1101,30
1102,88
1103,38
1104,76
1105,30
1106,31
1107,31
1108,89
1109,7
1110,30
1111,83
1112,31
1113,31
1114,38
1115,2
1116,31
1117,24
1118,87
1119,31
1120,31
1121,31
1122,57
1123,37
1124,31
1125,31
1126,31
1127,31
1128,38
1129,31
1130,92
1131,31
1132,31
1133,31
1134,31
1135,31
1136,83
1137,2
1138,76
1139,31
1140,29
1141,31
1142,87
1143,30
1144,31
1145,38
1146,38
1147,31
1148,2
1149,31
1150,76
1151,31
1152,29
1153,31
1154,29
1155,2
1156,83
1157,30
1158,31
1159,31
1160,87
1161,31
1162,2
1163,31
1164,31
1165,7
1166,31
1167,87
1168,76
1169,29
1170,7
1171,31
1172,87
1173,31
1174,7
1175,2
1176,31
1177,38
1178,30
1179,31
1180,31
1181,31
1182,7
1183,31
1184,31
1185,2
1186,30
1187,31
1188,31
1189,38
1190,87
1191,7
1192,31
1193,31
1194,31
1195,52
1196,2
1197,31
1198,38
1199,31
1200,31
1201,31
1202,31
1203,38
1204,31
1205,31
1206,29
1207,76
1208,31
1209,95
1210,31
1211,95
1212,31
1213,29
1214,7
1215,83
1216,29
1217,87
1218,92
1219,2
1220,87
1221,30
1222,38
1223,31
1224,31
1225,30
1226,31
1227,2
1228,30
1229,31
1230,31
1231,31
1232,30
1233,31
1234,89
1235,31
1236,31
1237,31
1238,31
1239,83
1240,31
1241,31
1242,89
1243,31
1244,31
1245,31
1246,92
1247,31
1248,38
1249,31
1250,30
1251,95
1252,2
1253,31
1254,92
1255,31
1256,31
1257,95
1258,31
1259,89
1260,31
1261,7
1262,52
1263,31
1264,31
1265,31
1266,31
1267,31
1268,31
1269,7
1270,31
1271,31
1272,31
1273,7
1274,92
1275,76
1276,30
1277,38
1278,31
1279,31
1280,87
1281,31
1282,87
1283,31
1284,24
1285,38
1286,95
1287,31
1288,76
1289,31
1290,31
1291,75
1292,31
1293,29
1294,31
1295,31
1296,76
1297,32
1298,31
1299,92
1300,31
1301,76
1302,31
1303,31
1304,31
1305,31
1306,31
1307,30
1308,31
1309,76
1310,31
1311,38
1312,31
1313,31
1314,2
1315,92
1316,95
1317,31
1318,31
1319,31
1320,31
1321,2
1322,31
1323,31
1324,2
1325,31
1326,92
1327,29
1328,92
1329,30
1330,31
1331,11
1332,30
1333,31
1334,31
1335,7
1336,31
1337,31
1338,83
1339,52
1340,31
1341,29
1342,7
1343,2
1344,30
1345,31
1346,92
1347,2
1348,23
1349,2
1350,29
1351,30
1352,31
1353,31
1354,89
1355,31
1356,85
1357,30
1358,31
1359,31
1360,31
1361,11
1362,23
1363,31
1364,31
1365,30
1366,31
1367,31
1368,31
1369,31
1370,31
1371,95
1372,31
1373,2
1374,31
1375,92
1376,31
1377,38
1378,31
1379,2
1380,31
1381,29
1382,31
1383,31
1384,31
1385,31
1386,75
1387,85
1388,31
1389,31
1390,31
1391,31
1392,31
1393,31
1394,2
1395,31
1396,30
1397,31
1398,38
1399,30
1400,85
1401,31
1402,95
1403,30
1404,30
1405,31
1406,2
1407,83
1408,2
1409,30
1410,31
1411,31
1412,29
1413,95
1414,92
1415,31
1416,31
1417,31
1418,31
1419,85
1420,31
1421,76
1422,31
1423,31
1424,31
1425,31
1426,76
1427,30
1428,38
1429,31
1430,7
1431,31
1432,31
1433,31
1434,92
1435,83
1436,31
1437,23
1438,29
1439,23
1440,95
1441,31
1442,31
1443,30
1444,87
1445,31
1446,31
1447,30
1448,88
1449,87
1450,31
1451,31
1452,31
1453,92
1454,76
1455,31
1456,30
1457,30
1458,31
1459,31
1460,31
1461,31
1462,30
1463,29
1464,31
1465,83
1466,76
1467,31
1468,31
1469,92
1470,31
1471,75
1472,31
1473,31
1474,31
1475,76
1476,7
1477,31
1478,31
1479,38
1480,31
1481,31
1482,52
1483,85
1484,31
1485,7
1486,87
1487,92
1488,29
1489,31
1490,31
1491,76
1492,31
1493,7
1494,31
1495,31
1496,31
1497,31
1498,38
1499,31
1500,7
1501,31
1502,29
1503,31
1504,38
1505,31
1506,31
1507,31
1508,30
1509,31
1510,31
1511,38
1512,83
1513,31
1514,31
1515,30
1516,24
1517,31
1518,76
1519,30
1520,31
1521,30
1522,31
1523,24
1524,30
1525,95
1526,30
1527,31
1528,30
1529,30
1530,31
1531,31
1532,95
1533,30
1534,31
1535,31
1536,30
1537,92
1538,31
1539,31
1540,31
1541,31
1542,95
1543,87
1544,31
1545,7
1546,31
1547,31
1548,31
1549,31
1550,31
1551,31
1552,31
1553,2
1554,87
1555,87
1556,31
1557,31
1558,92
1559,30
1560,23
1561,95
1562,31
1563,31
1564,31
1565,95
1566,88
1567,76
1568,31
1569,23
1570,31
1571,7
1572,2
1573,31
1574,29
1575,31
1576,2
1577,31
1578,31
1579,52
1580,31
1581,31
1582,31
1583,95
1584,7
1585,31
1586,95
1587,31
1588,31
1589,23
1590,83
1591,31
1592,76
1593,7
1594,31
1595,29
1596,24
1597,31
1598,87
1599,7
1600,52
1601,31
1602,31
1603,7
1604,87
1605,30
1606,31
1607,30
1608,83
1609,31
1610,83
1611,31
1612,83
1613,31
1614,7
1615,31
1616,31
1617,31
1618,31
1619,31
1620,31
1621,76
1622,7
1623,89
1624,87
1625,31
1626,30
1627,31
1628,38
1629,31
1630,31
1631,2
1632,2
1633,31
1634,7
1635,2
1636,76
1637,31
1638,92
1639,31
1640,92
1641,52
1642,83
1643,31
1644,31
1645,31
1646,31
1647,31
1648,92
1649,31
1650,9
1651,31
1652,31
1653,23
1654,31
1655,38
1656,30
1657,31
1658,30
1659,52
1660,31
1661,29
1662,31
1663,89
1664,31
1665,31
1666,89
1667,31
1668,31
1669,31
1670,7
1671,31
1672,31
1673,31
1674,31
1675,31
1676,83
1677,7
1678,7
1679,24
1680,87
1681,31
1682,31
1683,38
1684,2
1685,87
1686,87
1687,31
1688,31
1689,31
1690,95
1691,31
1692,30
1693,29
1694,31
1695,31
1696,31
1697,31
1698,85
1699,7
1700,31
1701,31
1702,31
1703,31
1704,31
1705,76
1706,31
1707,31
1708,2
1709,31
1710,31
1711,2
1712,7
1713,2
1714,31
1715,30
1716,2
1717,31
1718,76
1719,2
1720,7
1721,7
1722,31
1723,2
1724,31
1725,89
1726,2
1727,31
1728,52
1729,31
1730,31
1731,30
1732,31
1733,30
1734,30
1735,23
1736,29
1737,31
1738,95
1739,2
1740,30
1741,31
1742,31
1743,2
1744,2
1745,85
1746,31
1747,30
1748,31
1749,31
1750,2
1751,2
1752,31
1753,31
1754,31
1755,7
1756,31
1757,29
1758,31
1759,30
1760,83
1761,89
1762,2
1763,31
1764,95
1765,31
1766,29
1767,31
1768,31
1769,76
1770,2
1771,83
1772,87
1773,76
1774,31
1775,95
1776,88
1777,31
1778,31
1779,31
1780,30
1781,31
1782,31
